passID,timestamp,stationRef,vehicleRef,charge,stationAbbr,stationFK,vehicle,vehicleFK,homeCompany,passType
WSI3219904,1/1/2019 01:33,KO01,ED51EWW52190,2.8,KO01,36,ED51EWW52190,13,KO,home
TOB7336760,1/1/2019 01:37,OO12,AT19HLV57173,2.8,OO12,83,AT19HLV57173,45,OO,home
LDD7262109,1/1/2019 02:50,OO06,AT19HLV57173,2.8,OO06,77,AT19HLV57173,45,OO,home
NSR5538511,1/1/2019 05:23,AO07,DP11ENT03275,3.1,AO07,8,DP11ENT03275,98,AO,home
BDG6166982,1/1/2019 06:03,AO18,LG64ARC91224,13.0,AO18,19,LG64ARC91224,43,AO,home
YWD3967715,1/1/2019 06:09,MR06,QO68DIC93032,2.5,MR06,51,QO68DIC93032,50,MR,home
THF3239181,1/1/2019 06:10,OO12,XV40HUQ04740,1.25,OO12,83,XV40HUQ04740,8,OO,home
DKZ3204266,1/1/2019 07:28,EG04,TV81MAQ99005,2.8,EG04,26,TV81MAQ99005,99,EG,home
VSD5346273,1/1/2019 08:17,EG03,CP56DAO45598,2.8,EG03,25,CP56DAO45598,42,GF,away
UTI9677334,1/1/2019 08:52,AO13,DP11ENT03275,3.1,AO13,14,DP11ENT03275,98,AO,home
UIV0991172,1/1/2019 09:35,AO16,NO82BAX82566,2.8,AO16,17,NO82BAX82566,24,NE,away
BIM5756381,1/1/2019 09:53,KO08,QW79CHL42244,2.8,KO08,43,QW79CHL42244,4,KO,home
JVV5228001,1/1/2019 10:33,KO04,JO50FSF60755,2.2,KO04,39,JO50FSF60755,56,KO,home
TYV5505416,1/1/2019 10:41,KO08,WY00MLL63827,1.0,KO08,43,WY00MLL63827,79,KO,home
DVP9052273,1/1/2019 12:23,GF00,PF04UCA93312,3.1,GF00,21,PF04UCA93312,48,GF,home
RCN6097732,1/1/2019 12:45,GF00,IO09FGE68100,2.8,GF00,21,IO09FGE68100,66,GF,home
UPC0934127,1/1/2019 16:48,OO04,CP56DAO45598,2.5,OO04,75,CP56DAO45598,42,GF,away
UYS4444642,1/1/2019 16:52,NE09,QP02SYE47964,2.8,NE09,63,QP02SYE47964,46,NE,home
YOW7433640,1/1/2019 17:18,AO02,QN23UHH39091,2.8,AO02,3,QN23UHH39091,18,MR,away
JLS1333152,1/1/2019 17:41,EG08,CR31GMR97972,1.5,EG08,30,CR31GMR97972,59,EG,home
QGO0903208,1/1/2019 18:02,EG02,TE24LCO18661,1.25,EG02,24,TE24LCO18661,49,EG,home
IRK4760444,1/1/2019 19:39,EG11,MU06LHX94338,1.5,EG11,33,MU06LHX94338,72,EG,home
YZL7519880,1/1/2019 23:13,EG12,MU06LHX94338,1.5,EG12,34,MU06LHX94338,72,EG,home
XRS9245728,1/1/2019 23:35,KO06,HW75BKT77773,2.2,KO06,41,HW75BKT77773,93,KO,home
ADK8001607,2/1/2019 00:22,OO12,EM54HQI58682,2.8,OO12,83,EM54HQI58682,81,OO,home
ZLJ2429774,2/1/2019 00:39,EG07,CM15YCB60994,2.0,EG07,29,CM15YCB60994,97,EG,home
PFK3153908,2/1/2019 01:25,EG09,CM15YCB60994,2.0,EG09,31,CM15YCB60994,97,EG,home
OJF7533092,2/1/2019 02:21,NE09,FY47TUN40300,1.0,NE09,63,FY47TUN40300,73,NE,home
AYA2207372,2/1/2019 02:42,EG02,DW44ZOO26361,2.5,EG02,24,DW44ZOO26361,58,EG,home
SUW7443304,2/1/2019 03:30,GF00,JE65QJK64802,2.8,GF00,21,JE65QJK64802,90,GF,home
NQU2005152,2/1/2019 04:18,AO18,RR73DWB65452,2.8,AO18,19,RR73DWB65452,2,AO,home
PZE1892597,2/1/2019 04:24,OO00,AT19HLV57173,2.8,OO00,71,AT19HLV57173,45,OO,home
AYH8728597,2/1/2019 04:28,GF00,QO68DIC93032,13.0,GF00,21,QO68DIC93032,50,MR,away
XJD2966445,2/1/2019 05:50,GF00,DO24BCW15511,13.0,GF00,21,DO24BCW15511,5,KO,away
HVQ7237032,2/1/2019 06:12,KO00,KB55KTM48860,2.5,KO00,35,KB55KTM48860,94,KO,home
NHY3086874,2/1/2019 07:11,AO15,YL27IFD65117,2.0,AO15,16,YL27IFD65117,30,AO,home
MGU4398755,2/1/2019 07:14,NE08,EG95RTB75032,2.8,NE08,62,EG95RTB75032,64,NE,home
GEM5057485,2/1/2019 07:28,OO12,AT19HLV57173,2.8,OO12,83,AT19HLV57173,45,OO,home
FFA6207327,2/1/2019 07:42,OO07,QR03XCJ37459,2.8,OO07,78,QR03XCJ37459,87,OO,home
OLV7217348,2/1/2019 08:19,MR04,IZ65WAT29135,2.0,MR04,49,IZ65WAT29135,16,MR,home
NKM7840606,2/1/2019 09:06,OO02,MX39VOS38645,2.0,OO02,73,MX39VOS38645,70,AO,away
QZY0176136,2/1/2019 10:20,OO01,QR03XCJ37459,2.5,OO01,72,QR03XCJ37459,87,OO,home
LEV3798414,2/1/2019 11:04,OO04,RK48BOP88344,2.8,OO04,75,RK48BOP88344,35,OO,home
XCW7548977,2/1/2019 13:49,KO07,QO77TFN61853,2.2,KO07,42,QO77TFN61853,55,KO,home
SSH1766507,2/1/2019 14:10,NE15,MQ65WJJ60020,1.0,NE15,69,MQ65WJJ60020,11,KO,away
AWB9004088,2/1/2019 15:24,AO04,HT62RDI04611,2.8,AO04,5,HT62RDI04611,15,AO,home
SNO1901037,2/1/2019 16:40,AO15,BM25PHF40639,13.0,AO15,16,BM25PHF40639,7,AO,home
OCG0520265,2/1/2019 16:45,NE02,VX68BAR38623,1.5,NE02,56,VX68BAR38623,9,NE,home
PZY6450746,2/1/2019 19:54,MR00,IZ65WAT29135,2.0,MR00,45,IZ65WAT29135,16,MR,home
SVP4480098,2/1/2019 19:54,OO07,RK48BOP88344,2.8,OO07,78,RK48BOP88344,35,OO,home
CKM4226732,2/1/2019 21:13,GF00,BY85QGR11636,2.5,GF00,21,BY85QGR11636,25,GF,home
KYZ7726118,2/1/2019 21:13,MR05,XV91YMP27722,2.5,MR05,50,XV91YMP27722,53,MR,home
BJS5915448,2/1/2019 21:36,AO11,BZ76ROL87339,1.0,AO11,12,BZ76ROL87339,39,AO,home
ABE2129498,2/1/2019 21:47,AO14,BZ76ROL87339,1.0,AO14,15,BZ76ROL87339,39,AO,home
QYU5003410,3/1/2019 00:02,EG01,TE24LCO18661,1.25,EG01,23,TE24LCO18661,49,EG,home
WPS5352347,3/1/2019 01:40,GF00,IO09FGE68100,2.8,GF00,21,IO09FGE68100,66,GF,home
RDV6518451,3/1/2019 02:39,AO15,XE59BZM26378,2.8,AO15,16,XE59BZM26378,60,EG,away
WNH6218760,3/1/2019 03:04,KO01,QW79CHL42244,2.8,KO01,36,QW79CHL42244,4,KO,home
RRS9227725,3/1/2019 03:32,EG05,CM15YCB60994,2.0,EG05,27,CM15YCB60994,97,EG,home
LJZ4625728,3/1/2019 03:41,KO09,QW79CHL42244,2.8,KO09,44,QW79CHL42244,4,KO,home
VED8509398,3/1/2019 04:03,OO11,JF94VYA88954,2.8,OO11,82,JF94VYA88954,89,OO,home
IAQ7370002,3/1/2019 04:19,NE00,QP02SYE47964,2.8,NE00,54,QP02SYE47964,46,NE,home
KPT1084302,3/1/2019 06:06,KO01,IX01MVL33676,2.5,KO01,36,IX01MVL33676,77,KO,home
CSJ9595952,3/1/2019 06:24,KO05,IZ65WAT29135,1.5,KO05,40,IZ65WAT29135,16,MR,away
AJB4007132,3/1/2019 06:51,AO18,MX39VOS38645,2.8,AO18,19,MX39VOS38645,70,AO,home
IFJ1584058,3/1/2019 06:59,MR07,EZ65FLV39493,2.8,MR07,52,EZ65FLV39493,40,MR,home
IJN5312188,3/1/2019 08:35,KO03,FL13UMN92207,1.0,KO03,38,FL13UMN92207,62,KO,home
UZI9045597,3/1/2019 08:43,NE01,PM58XHX45588,1.5,NE01,55,PM58XHX45588,61,NE,home
DKI5609758,3/1/2019 09:23,GF00,CK97FAU13897,2.5,GF00,21,CK97FAU13897,82,GF,home
BJL0155721,3/1/2019 09:23,MR04,KF48RSD79865,2.8,MR04,49,KF48RSD79865,28,MR,home
YON4581505,3/1/2019 12:20,GF00,YX66XYW62640,3.1,GF00,21,YX66XYW62640,91,GF,home
JZP9177875,3/1/2019 14:02,AO04,YL27IFD65117,2.0,AO04,5,YL27IFD65117,30,AO,home
SSZ7103725,3/1/2019 14:43,MR00,HE38BQH01623,2.8,MR00,45,HE38BQH01623,54,MR,home
FPU0425557,3/1/2019 15:44,KO05,WY00MLL63827,1.0,KO05,40,WY00MLL63827,79,KO,home
MOS5853245,3/1/2019 16:51,KO05,IX01MVL33676,2.5,KO05,40,IX01MVL33676,77,KO,home
EWR2508893,3/1/2019 16:58,AO12,DP11ENT03275,3.1,AO12,13,DP11ENT03275,98,AO,home
FDO3407403,3/1/2019 17:39,KO08,QW79CHL42244,2.8,KO08,43,QW79CHL42244,4,KO,home
DLQ8625471,3/1/2019 19:31,GF00,MP14WFM40909,2.8,GF00,21,MP14WFM40909,41,GF,home
ZAG0725273,3/1/2019 19:34,EG07,EC02LZC49528,2.8,EG07,29,EC02LZC49528,31,EG,home
RJN3440849,3/1/2019 20:37,NE12,EG95RTB75032,2.8,NE12,66,EG95RTB75032,64,NE,home
BXR7588699,3/1/2019 21:13,OO05,EM54HQI58682,2.8,OO05,76,EM54HQI58682,81,OO,home
JZF0586381,3/1/2019 22:03,EG01,TE24LCO18661,1.25,EG01,23,TE24LCO18661,49,EG,home
AKJ5235405,3/1/2019 22:15,NE06,XV91YMP27722,1.5,NE06,60,XV91YMP27722,53,MR,away
YSK8555815,3/1/2019 22:56,EG09,TV81MAQ99005,2.8,EG09,31,TV81MAQ99005,99,EG,home
VAS7777913,3/1/2019 23:10,KO05,QO77TFN61853,2.2,KO05,40,QO77TFN61853,55,KO,home
OSB6924402,3/1/2019 23:11,OO01,WY00MLL63827,2.8,OO01,72,WY00MLL63827,79,KO,away
IKP1014708,3/1/2019 23:28,AO02,PE73VJU23485,2.8,AO02,3,PE73VJU23485,100,AO,home
NDS8480885,4/1/2019 00:41,NE07,PD45WOT56494,1.5,NE07,61,PD45WOT56494,6,NE,home
IEP5322365,4/1/2019 00:46,AO05,YL27IFD65117,2.0,AO05,6,YL27IFD65117,30,AO,home
LZU2500999,4/1/2019 01:37,NE09,FY47TUN40300,1.0,NE09,63,FY47TUN40300,73,NE,home
FTO5959048,4/1/2019 02:32,NE07,NY14GZR94632,2.8,NE07,61,NY14GZR94632,19,NE,home
PEO8978228,4/1/2019 02:38,GF00,PF04UCA93312,3.1,GF00,21,PF04UCA93312,48,GF,home
IWZ6784211,4/1/2019 02:51,AO05,DV04FQL29609,3.1,AO05,6,DV04FQL29609,96,AO,home
DOT0840926,4/1/2019 03:48,OO04,RK48BOP88344,2.8,OO04,75,RK48BOP88344,35,OO,home
YIC2205567,4/1/2019 04:43,OO05,AT19HLV57173,2.8,OO05,76,AT19HLV57173,45,OO,home
JYG0256462,4/1/2019 06:18,AO17,OC94ASJ72024,1.0,AO17,18,OC94ASJ72024,12,AO,home
FZS8692226,4/1/2019 08:01,KO05,ED51EWW52190,1.0,KO05,40,ED51EWW52190,13,KO,home
