pass_id,tag_id,station_id,pass_code,pass_time,rate,pass_type
1,13,36,WSI3219904,1/1/2019 01:33,2.8,"home
"
2,45,83,TOB7336760,1/1/2019 01:37,2.8,"home
"
3,45,77,LDD7262109,1/1/2019 02:50,2.8,"home
"
4,98,8,NSR5538511,1/1/2019 05:23,3.1,"home
"
5,43,19,BDG6166982,1/1/2019 06:03,13.0,"home
"
6,50,51,YWD3967715,1/1/2019 06:09,2.5,"home
"
7,8,83,THF3239181,1/1/2019 06:10,1.25,"home
"
8,99,26,DKZ3204266,1/1/2019 07:28,2.8,"home
"
9,42,25,VSD5346273,1/1/2019 08:17,2.8,"away
"
10,98,14,UTI9677334,1/1/2019 08:52,3.1,"home
"
11,24,17,UIV0991172,1/1/2019 09:35,2.8,"away
"
12,4,43,BIM5756381,1/1/2019 09:53,2.8,"home
"
13,56,39,JVV5228001,1/1/2019 10:33,2.2,"home
"
14,79,43,TYV5505416,1/1/2019 10:41,1.0,"home
"
15,48,21,DVP9052273,1/1/2019 12:23,3.1,"home
"
16,66,21,RCN6097732,1/1/2019 12:45,2.8,"home
"
17,42,75,UPC0934127,1/1/2019 16:48,2.5,"away
"
18,46,63,UYS4444642,1/1/2019 16:52,2.8,"home
"
19,18,3,YOW7433640,1/1/2019 17:18,2.8,"away
"
20,59,30,JLS1333152,1/1/2019 17:41,1.5,"home
"
21,49,24,QGO0903208,1/1/2019 18:02,1.25,"home
"
22,72,33,IRK4760444,1/1/2019 19:39,1.5,"home
"
23,72,34,YZL7519880,1/1/2019 23:13,1.5,"home
"
24,93,41,XRS9245728,1/1/2019 23:35,2.2,"home
"
25,81,83,ADK8001607,2/1/2019 00:22,2.8,"home
"
26,97,29,ZLJ2429774,2/1/2019 00:39,2.0,"home
"
27,97,31,PFK3153908,2/1/2019 01:25,2.0,"home
"
28,73,63,OJF7533092,2/1/2019 02:21,1.0,"home
"
29,58,24,AYA2207372,2/1/2019 02:42,2.5,"home
"
30,90,21,SUW7443304,2/1/2019 03:30,2.8,"home
"
31,2,19,NQU2005152,2/1/2019 04:18,2.8,"home
"
32,45,71,PZE1892597,2/1/2019 04:24,2.8,"home
"
33,50,21,AYH8728597,2/1/2019 04:28,13.0,"away
"
34,5,21,XJD2966445,2/1/2019 05:50,13.0,"away
"
35,94,35,HVQ7237032,2/1/2019 06:12,2.5,"home
"
36,30,16,NHY3086874,2/1/2019 07:11,2.0,"home
"
37,64,62,MGU4398755,2/1/2019 07:14,2.8,"home
"
38,45,83,GEM5057485,2/1/2019 07:28,2.8,"home
"
39,87,78,FFA6207327,2/1/2019 07:42,2.8,"home
"
40,16,49,OLV7217348,2/1/2019 08:19,2.0,"home
"
41,70,73,NKM7840606,2/1/2019 09:06,2.0,"away
"
42,87,72,QZY0176136,2/1/2019 10:20,2.5,"home
"
43,35,75,LEV3798414,2/1/2019 11:04,2.8,"home
"
44,55,42,XCW7548977,2/1/2019 13:49,2.2,"home
"
45,11,69,SSH1766507,2/1/2019 14:10,1.0,"away
"
46,15,5,AWB9004088,2/1/2019 15:24,2.8,"home
"
47,7,16,SNO1901037,2/1/2019 16:40,13.0,"home
"
48,9,56,OCG0520265,2/1/2019 16:45,1.5,"home
"
49,16,45,PZY6450746,2/1/2019 19:54,2.0,"home
"
50,35,78,SVP4480098,2/1/2019 19:54,2.8,"home
"
51,25,21,CKM4226732,2/1/2019 21:13,2.5,"home
"
52,53,50,KYZ7726118,2/1/2019 21:13,2.5,"home
"
53,39,12,BJS5915448,2/1/2019 21:36,1.0,"home
"
54,39,15,ABE2129498,2/1/2019 21:47,1.0,"home
"
55,49,23,QYU5003410,3/1/2019 00:02,1.25,"home
"
56,66,21,WPS5352347,3/1/2019 01:40,2.8,"home
"
57,60,16,RDV6518451,3/1/2019 02:39,2.8,"away
"
58,4,36,WNH6218760,3/1/2019 03:04,2.8,"home
"
59,97,27,RRS9227725,3/1/2019 03:32,2.0,"home
"
60,4,44,LJZ4625728,3/1/2019 03:41,2.8,"home
"
61,89,82,VED8509398,3/1/2019 04:03,2.8,"home
"
